Summons Number,Registration State,Plate Type,Issue Date,Vehicle Body Type,Vehicle Make,Issuing Agency,Street Code1,Street Code2,Street Code3,Violation Precinct,Issuer Precinct,Issuer Code,Violation Time,Front Of Or Opposite,From Hours In Effect,To Hours In Effect,Vehicle Year,Feet From Curb,Violation Code
2526834134,NY,PAS,6/29/2017,SDN,ACURA,S,18040,24090,24140,103,0,588810,0746A,F,0730A,0800A,2014,0,21
2523681744,NY,PAS,7/5/2017,SDN,AUDI,S,15790,8190,57790,115,0,696005,1138A,F,1130A,0100P,2002,0,21
2526816454,NY,PAS,7/17/2017,SDN,NISSA,S,51090,24540,24590,103,0,517533,0304A,F,0300A,0600A,2006,0,21
2518777206,NY,PAS,6/14/2017,SUBN,CHEVR,P,60085,29940,50303,101,101,931488,1140A,F,1130A,1300P,2005,0,21
2516960674,NY,PAS,6/12/2017,TAXI,FORD,P,24840,18290,35780,103,103,917363,1119A,O,ALL,ALL,2009,0,46
2518776918,NY,PAS,7/8/2017,VAN,CHEVR,P,29890,41700,61640,101,101,960348,0623P,O,ALL,ALL,2005,0,20
2513606968,NY,OMT,6/21/2017,SDN,LINCO,P,51090,58590,24040,103,103,956722,1045P,F,ALL,ALL,2007,0,14
2523084606,NY,PAS,7/10/2017,SDN,SMART,S,34050,10510,10610,6,0,598681,0850A,F,0830A,0900A,2014,0,21
2444735495,NY,PAS,6/29/2017,SUBN,HONDA,P,0,0,0,77,730,338558,1028A,,ALL,ALL,2013,0,14
2518789548,NY,PAS,7/12/2017,SDN,MITSU,P,60085,13185,29920,101,101,941011,1144A,O,1130A,0100P,1998,0,21
2523860768,NY,PAS,7/4/2017,SUBN,TOYOT,P,60520,23800,62420,43,808,936622,1030A,F,ALL,ALL,2015,0,20
2513708613,NY,PAS,7/9/2017,SDN,KIA,P,62200,32590,32740,100,100,959421,0340P,F,ALL,ALL,2017,0,40
2513762826,NY,PAS,6/25/2017,SDN,NISSA,P,23090,20440,53890,113,113,962477,0317P,F,ALL,ALL,0,0,98
2523523956,NY,PAS,6/22/2017,SUBN,HONDA,S,58590,51590,14890,107,0,594519,1051A,O,1030A,1200P,2009,0,21
2525015186,NY,PAS,6/29/2017,SUBN,HONDA,P,12120,26340,46820,41,48,962071,1212P,O,1130A,0100P,2012,0,21
2525406930,NY,PAS,6/11/2017,SDN,HONDA,P,13235,10990,11090,110,3,160186,0443P,O,ALL,ALL,1999,0,20
2525126033,NY,PAS,7/3/2017,SUBN,NISSA,P,0,40404,40404,45,45,960682,0235A,O,ALL,ALL,2013,0,98
2517405410,NY,PAS,6/15/2017,SDN,INFIN,P,10810,36690,36710,32,806,960002,0942P,F,ALL,ALL,2005,0,19
2525175829,NY,PAS,6/16/2016,SDN,CHEVR,P,53030,93530,54100,83,83,956145,0108P,O,ALL,ALL,2016,0,46
2525351850,NY,PAS,7/9/2017,SDN,TOYOT,K,67730,0,0,60,4,160693,0230P,F,ALL,ALL,2016,0,14
2523364080,NY,COM,6/26/2017,P-U,CHEVR,P,34130,10610,10810,10,10,942916,0846A,F,ALL,ALL,2008,0,46
2527166959,NY,PAS,6/9/2017,,CHEVR,P,30720,34100,24528,122,122,962810,1050P,F,ALL,ALL,2016,0,21
2230276910,NJ,PAS,7/4/2017,SDN,NISSA,P,9540,35780,29490,110,976,101236,0154A,O,ALL,ALL,0,0,20
2524444833,99,PAS,7/14/2017,SUBN,DODGE,P,45430,52730,39830,75,504,332045,0814A,O,0800A,0930A,2004,0,21
2510604024,NY,PAS,7/5/2017,SDN,HYUND,K,0,36500,0,122,5,160098,1028P,,ALL,ALL,2011,0,63
2518790139,NY,PAS,6/29/2017,SUBN,HONDA,P,39790,56590,56090,101,101,951544,0213P,F,ALL,ALL,2007,0,19
2523853877,NY,PAS,7/16/2017,SDN,TOYOT,P,0,40404,40404,43,808,951163,0943A,F,ALL,ALL,0,0,20
2479197337,PA,PAS,7/2/2017,,FORD,P,0,0,0,33,2,260450,1142A,F,ALL,ALL,0,0,98
2514004420,NY,PAS,6/24/2017,SUBN,HONDA,P,22810,19890,19990,103,103,951408,0810P,F,ALL,ALL,2014,0,98
2515337341,NY,PAS,6/1/2017,SUBN,ROVER,F,31830,5680,24730,78,219,920307,1039A,F,ALL,ALL,2009,0,46
2527807052,NY,PAS,7/5/2017,SDN,BMW,P,31490,29590,28990,7,7,940646,0216P,F,0800A,0700P,2010,0,20
2510654851,NY,PAS,7/4/2017,SUBN,TOYOT,K,72630,0,0,78,4,160199,0300P,O,ALL,ALL,2011,0,20
2527665806,NY,PAS,6/28/2017,VAN,HONDA,P,59520,27270,23800,48,48,951502,0245A,F,ALL,ALL,1999,0,40
2513608039,NY,PAS,6/17/2017,SDN,INFIN,P,60190,19790,62990,103,103,952839,1113P,F,ALL,ALL,2003,0,40
2513587986,NY,PAS,7/6/2017,SUBN,GMC,P,20790,64790,23640,113,113,953691,0940A,F,ALL,ALL,2001,0,98
2516264886,NY,PAS,6/26/2017,SDN,NISSA,P,13200,23295,39725,122,122,929117,1025P,O,ALL,ALL,2014,0,20
2514021309,NJ,PAS,6/28/2017,SUBN,CHEVR,P,53790,20490,20590,106,106,975605,0410P,F,ALL,ALL,0,0,19
2523764261,PA,PAS,7/3/2017,SDN,CHEVR,S,22430,24930,67830,60,0,698039,0839A,F,0800A,0930A,0,0,21
